video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Algeria,Gaming,26107,4642431933,335994,157320869,1
Algeria,Music,23266,4785093916,1201078,136674558,2
Algeria,Entertainment,15309,3635590414,2122353,117577765,3
Algeria,People & Blogs,15006,1448428827,531924,46650949,4
Algeria,Sports,4927,1272852098,1860895,34088852,5
Algeria,Education,2533,124051365,527878,5730854,6
Algeria,News & Politics,2396,212604860,944910,3638214,7
Algeria,Howto & Style,1785,106271930,498929,4825731,8
Algeria,Film & Animation,1470,336640125,1315000,16139694,9
Algeria,Comedy,1359,166127218,1695176,7464375,10
Argentina,Music,29783,8751772290,1330259,275513109,1
Argentina,Gaming,27946,6093195943,316628,191481873,2
Argentina,Entertainment,13551,4680126024,2078209,163287727,3
Argentina,People & Blogs,11477,1912936038,695866,47332720,4
Argentina,Sports,5230,1276288353,1927928,29496758,5
Argentina,Film & Animation,2154,816309182,1388281,30599976,6
Argentina,Comedy,1457,113825946,774326,6696626,7
Argentina,News & Politics,1276,118946574,792977,1429552,8
Argentina,Howto & Style,851,76653679,1564361,2473080,9
Argentina,Travel & Events,380,21083945,658873,1147978,10
Australia,Gaming,35339,9562540204,553068,313687920,1
Australia,Entertainment,15396,8474842527,2289879,234479382,2
Australia,Music,11837,9612082220,3993387,326487146,3
Australia,Sports,10490,2616661819,1446469,55001174,4
Australia,People & Blogs,6614,2266877351,1641475,58968286,5
Australia,Film & Animation,3724,2500183146,3285392,69096724,6
Australia,Autos & Vehicles,2640,416966430,1279038,18962041,7
Australia,News & Politics,2437,585656430,1513324,7606523,8
Australia,Comedy,2035,370966238,991888,19612644,9
Australia,Science & Technology,1843,710969723,2286076,17379860,10
Austria,Gaming,33032,4751053967,498484,162141697,1
Austria,Entertainment,19629,4660228865,1935311,150622339,2
Austria,Music,13789,5653036434,4618494,191420931,3
Austria,Sports,7218,1443982007,1832464,33255164,4
Austria,People & Blogs,5635,1272098582,1978380,31641829,5
Austria,Autos & Vehicles,3118,283570669,1038720,13624061,6
Austria,Science & Technology,2811,441770633,1492468,12582335,7
Austria,News & Politics,2639,263535617,983342,3951166,8
Austria,Education,2063,353394058,2078789,12900815,9
Austria,Film & Animation,1937,1187864671,6123014,40544804,10
Azerbaijan,Gaming,21448,2921063674,385466,90012964,1
Azerbaijan,Music,15316,2587389417,2259729,47106460,2
Azerbaijan,Entertainment,13859,17290510104,16885264,455359930,3
Azerbaijan,People & Blogs,7044,13203486901,18086968,259909611,4
Azerbaijan,News & Politics,1817,189896193,1225137,4570146,5
Azerbaijan,Sports,1763,1999634243,9172634,48351368,6
Azerbaijan,Comedy,1720,2940369323,16612256,60052676,7
Azerbaijan,Film & Animation,1325,519230104,4120874,12984128,8
Azerbaijan,Howto & Style,766,4254579116,66477799,66968078,9
Azerbaijan,Science & Technology,321,465979899,16642139,9086563,10
Bahrain,Entertainment,9597,4113404371,8981232,111083178,1
Bahrain,Gaming,7550,1670888659,2233808,60589401,2
Bahrain,People & Blogs,4204,713230073,2485122,23748487,3
Bahrain,Music,3944,3917338089,23886208,89909429,4
Bahrain,Sports,3162,1177741016,3925803,31593719,5
Bahrain,Film & Animation,2116,619220226,7200235,17687439,6
Bahrain,Comedy,476,82106288,3909823,3691893,7
Bahrain,Howto & Style,391,99337974,5518776,3610218,8
Bahrain,Education,375,74488020,4138223,3188422,9
Bahrain,News & Politics,297,74244810,2560166,1069308,10
Bangladesh,Gaming,23030,2798556756,487808,85864396,1
Bangladesh,Entertainment,9863,16768939417,15940056,378612246,2
Bangladesh,Music,8860,4195263505,4351933,83360077,3
Bangladesh,People & Blogs,6977,14393779507,18266218,276082409,4
Bangladesh,Film & Animation,1237,830883575,5193022,15975371,5
Bangladesh,News & Politics,1114,290550126,3823028,5676237,6
Bangladesh,Comedy,909,2354974321,35681429,40601489,7
Bangladesh,Howto & Style,829,4496896042,66130824,68882624,8
Bangladesh,Sports,729,1264555825,12520355,24900048,9
Bangladesh,Education,201,264629477,18902106,6135789,10
Belarus,Gaming,31234,3287665674,411215,118283305,1
Belarus,Entertainment,8257,10919109900,13998859,346975399,2
Belarus,People & Blogs,6695,6494282868,9621160,147991555,3
Belarus,Music,4235,1223820044,3187031,38269101,4
Belarus,Comedy,3133,1483330783,5132632,37613401,5
Belarus,Sports,1349,1706745355,18551580,45083089,6
Belarus,Film & Animation,1274,409642452,2677402,13271887,7
Belarus,News & Politics,1193,263576987,2896450,6113944,8
Belarus,Science & Technology,535,759732538,14610241,27293191,9
Belarus,Autos & Vehicles,450,142159970,5467691,3250318,10
Belgium,Gaming,25977,5848303289,849057,183631491,1
Belgium,Entertainment,14786,21656569402,13909165,676835246,2
Belgium,Music,8725,5519352907,7519554,142266545,3
Belgium,People & Blogs,6879,14858286579,27981707,339874941,4
Belgium,Sports,3895,5190529360,14745822,164661978,5
Belgium,Comedy,3664,4626137199,20113640,130840507,6
Belgium,Film & Animation,1188,777250973,5323637,28047174,7
