video_trending_country,channel_title,channel_custom_url,video_category_id,trending_appearances,total_views,total_videos,channel_subscribers,channel_view_count,rank
Algeria,مستر جيجي Mr GG,@mr_gg,Gaming,876,90593955,178,5740000,2326509274,1
Algeria,رانيا كيمنك Rania Gaming,@rania_gaming,Gaming,768,71458455,134,5250000,2301517329,2
Algeria,beIN SPORTS,@beinsports,Sports,661,195750051,61,14300000,2333986858,3
Algeria,مصطفى GAME OVER,@mustafago,Gaming,610,81780203,179,12900000,4673324075,4
Algeria,تجارب اسراء - Esraa Nabil,@esraanabil2,People & Blogs,551,46683162,23,3880000,675892554,5
Algeria,صالح - oPiiLz,@opiilz,Entertainment,530,61418582,71,10200000,3089533372,6
Algeria,The wonder roby (‫روبي الخارقه‬‎),@thewonderroby,Film & Animation,454,20145109,22,1290000,518637330,7
Algeria,Studio Ganfouda - استوديو قنفودة,@studioganfouda-2083,Music,447,26157016,40,1610000,685251403,8
Algeria,Didine Canon 16,@didinecanon16.officiel,Music,442,68813581,38,7980000,2464097668,9
Algeria,Release - Topic,,Music,441,7909398,122,1940,1524093,10
Argentina,Fede Vigevani,@fedevigevani,Entertainment,676,420270040,38,73000000,24874475417,1
Argentina,ESPN Fans,@espnfans,Sports,597,152732298,66,8010000,6227885047,2
Argentina,Brawl Stars,@brawlstars,Gaming,500,467635899,71,25700000,4873772550,3
Argentina,HYBE LABELS,@hybelabels,Music,489,684923358,98,81900000,47054602165,4
Argentina,RobleisIUTU,@robleisiutu,Gaming,423,80074325,178,20300000,7065971940,5
Argentina,Chuy Mine,@chuymine,Gaming,419,117431110,317,6140000,2550071003,6
Argentina,Rubius Z,@elrubius,Gaming,416,241955357,162,14600000,3644621239,7
Argentina,Luisito Comunica,@luisitocomunica,Entertainment,414,156626330,21,44900000,10926415703,8
Argentina,Nacho,@nacho-minecraft,Gaming,396,152205391,179,7700000,2205251752,9
Argentina,RDjavi,@rdjaviii,Gaming,381,93561055,50,6330000,1002532658,10
Armenia,BABYMONSTER,@babymonster,Music,62,239730955,5,12600000,9425300584,1
Armenia,MrBeast Gaming,@mrbeastgaming,Gaming,62,151216029,4,58300000,11312421126,2
Armenia,Brawl Stars,@brawlstars,Gaming,62,77946813,10,25700000,4873772550,3
Armenia,HYBE LABELS,@hybelabels,Music,62,67406697,5,81900000,47054602165,4
Armenia,Компот,@compot,Gaming,62,16580037,30,17500000,11342499500,5
Armenia,Domer Grief,@domer.official,Gaming,62,14561511,10,8510000,1778438186,6
