video_trending_country,trending_year,trending_month,video_title,video_category_id,channel_title,video_view_count,video_like_count,video_comment_count,video_duration,trending_appearances
Algeria,2024,10,JENNIE - Mantra (Official Music Video),Music,JENNIE,73298485,3115247,238476,PT2M28S,19
Algeria,2024,11,Samara - Automatique Ft Mc Artisan (Audio),Music,Samara,5439109,64160,2468,PT4M38S,30
Algeria,2024,12,"Beat Ronaldo, Win $1,000,000",Entertainment,MrBeast,179234402,6818423,105232,PT22M45S,31
Algeria,2025,1,Bessan Ismail - Al Harbein (Official Music Video) | بيسان اسماعيل - الحربين,Music,Bessan Ismail Music,33677277,560198,68857,PT3M35S,24
Algeria,2025,2,JENNIE & Dominic Fike - Love Hangover (Official Video),Music,JennieRubyJaneVEVO,32876155,1739114,100438,PT3M37S,28
Algeria,2025,3,تحدي جاوب غلط مع اخواني 😱🎈,Entertainment,Narins Beauty,3036009,130954,2746,PT8M20S,20
Algeria,2025,4,Bilal babilo Feat Yousri Oscar- Maglou3a Raha Cheba  -[ صـولحـها شـابيـن }Exclusive Clip Officiel,Music,Bilal Babilo | بلال بابيلو,15896796,87385,1881,PT4M32S,28
Algeria,2025,5,Hichem TGV feat. Djalil Palermo - Brakawna 🚫(Official Music Video 2025),Music,Cheb Hichem - Tgv - الشاب هشام,7637521,98208,4157,PT3M32S,30
Algeria,2025,6,Squid Game: Season 3 | Official Trailer | Netflix,Entertainment,Netflix,23302640,620787,33101,PT2M1S,30
Algeria,2025,7,BABYMONSTER - ‘HOT SAUCE’ M/V,People & Blogs,BABYMONSTER,96290945,844477,73164,PT2M35S,22
Algeria,2025,8,Fouad Jned x Bessan Ismail x Amjad Jomaa - 3lash (Official Music Video) | علاش,Music,Fouad Jned,17083343,478225,69951,PT3M24S,9
Algeria,2025,9,Hakim Liberta  - إقليم  -  (Official Music Video) By.‪‪@AwsProduction-music ‬,Music,Liberta Officiel,1034291,32757,1340,PT4M54S,9
Algeria,2025,10,HICHEM TGV 2025 | 9ARAWNI LIYAM - البرية لي لحقت | Ft Hani Mirigé & Houssem Magic (CLIP OFFICIEL ),Music,Cheb Hichem - Tgv - الشاب هشام,1575503,39652,2709,PT5M49S,9
Algeria,2025,11,Hakim Liberta - SAFERT | سافرت (Official Music Video) By.‪‪‪@AwsProduction-music,Music,Liberta Officiel,1027431,34442,1662,PT4M22S,10
Algeria,2025,12,Didine canon 16 - Toxic,Music,Didine Canon 16,1542936,46700,3327,PT3M25S,10
Algeria,2026,1,Didine Canon 16 ft Livi - Jarida — جريدة,Music,Skyprods Officiel,1356187,35969,1746,PT5M11S,8
Algeria,2026,2,"Survive 99 Nights, Win $99,000",Gaming,MrBeast Gaming,9899328,228389,13895,PT21M57S,2
Argentina,2024,10,Shakira - Soltera (Official Video),Music,shakiraVEVO,45562447,745287,41664,PT4M9S,19
Argentina,2024,11,"DUKI, Myke Towers - Nueva Era",Music,Duki,15077880,400384,10694,PT3M38S,25
Argentina,2024,12,TINI - el cielo (Official Video),Music,TiniVEVO,5820423,142958,8255,PT3M17S,25
Argentina,2025,1,Luck Ra || BZRP Music Sessions #61,Entertainment,Bizarrap,19423132,503166,30605,PT2M53S,30
Argentina,2025,2,ME ESCONDI 100 HORAS EN LA CASA DE MI NOVIA EN ROBLOX COMPLETO,Gaming,Chuy Mine,3984130,36520,1211,PT24M13S,24
Argentina,2025,3,Cris MJ - ÉLITE (Video Oficial),Music,Cris MJ,6117738,109784,7162,PT2M51S,25
Argentina,2025,4,"De La Rose, Omar Courtz - NUBES (Official Video)",Music,De La Rose,8266574,156490,3468,PT4M32S,22
Argentina,2025,5,"Flor Alvarez, Luck Ra, Q' Lokura - Tattoo Remix (Video Oficial)",Music,Flor Alvarez,3349501,34603,1239,PT2M37S,29
Argentina,2025,6,"Esau Ortíz, Luis R Conriquez, Oscar Maydon, Alemán feat. Victor Mendivil - Triple Lavada (Remix)",Music,Esau Ortiz,37914447,349042,7574,PT4M50S,29
Argentina,2025,7,I Built 5 SECRET Rooms In ONE COLOR!,People & Blogs,Stokes Twins,56540220,459670,10779,PT26M39S,22
Argentina,2025,8,"Stray Kids ""CEREMONY"" M/V",Music,JYP Entertainment,30676156,1238771,150030,PT2M52S,5
Argentina,2025,9,"Maria Becerra, TINI - HASTA QUE ME ENAMORO (Official Video) | SHANINA: PARTE III",Music,Maria Becerra,4042738,147176,8604,PT3M,6
Argentina,2025,10,"Ricky Martin, Carín León - A Medio Vivir (Official Video)",Music,RickyMartinVEVO,3885780,105144,4086,PT4M1S,5
Argentina,2025,11,DADDY YANKEE || BZRP Music Sessions #0/66,Entertainment,Bizarrap,29307423,2167905,107464,PT2M40S,6
Argentina,2025,12,J BALVIN || BZRP Music Sessions #62/66,Entertainment,Bizarrap,6394115,432821,32104,PT3M17S,5
Argentina,2026,1,"NO, MANZANA (REMIX) - Danilo Montana, Callejero Fino, Rei",Music,DANILO MONTANA,912524,20416,746,PT4M20S,5
Argentina,2026,2,"Survive 99 Nights, Win $99,000",Gaming,MrBeast Gaming,9899328,228426,13897,PT21M57S,2
Australia,2024,10,ROSÉ & Bruno Mars - APT. (Official Music Video),Music,ROSÉ,214288887,7229287,338067,PT2M54S,13
Australia,2024,11,"$1 vs $500,000 Experiences!",Entertainment,MrBeast,91245515,3500516,43602,PT17M40S,13
Australia,2024,12,"Stray Kids ""Walkin On Water"" M/V",Music,JYP Entertainment,29968910,1097389,169156,PT2M52S,19
Australia,2025,1,Nintendo Switch 2 – First-look trailer,Gaming,Nintendo of America,20035117,1048968,104936,PT2M22S,16
Australia,2025,2,The Fantastic Four: First Steps | Official Teaser | Only in Theaters July 25,Entertainment,Marvel Entertainment,26963887,850005,59565,PT1M38S,19
Australia,2025,3,Hanumankind - Run It Up ( Prod. By Kalmi ) | (Official Music Video),Music,HanumankindVEVO,20491708,1498228,58740,PT3M14S,14
Australia,2025,4,"1,000,000 Villager MANHUNT",Gaming,Grox,31955393,711781,70947,PT30M11S,13
Australia,2025,5,Grand Theft Auto VI Trailer 2,Gaming,Rockstar Games,113487638,6005525,489561,PT2M47S,16
Australia,2025,6,Sabrina Carpenter - Manchild (Official Video),Music,SabrinaCarpenterVEVO,31392581,1006788,48312,PT3M57S,15
Australia,2025,7,World's Fastest Car Vs Cheetah!,Entertainment,MrBeast,109403848,2832659,39860,PT20M37S,13
Australia,2025,8,For A Reason (Official Video) Karan Aujla | Tania  | Ikky | Latest Punjabi Songs 2025,Music,Rehaan Records,35391905,436838,9612,PT3M9S,10
Australia,2025,9,I REALLY DO (MUSIC VIDEO) KARAN AUJLA| IKKY | Aveera | Latest Punjabi Songs 2025,Music,Karan Aujla,15133530,280885,8083,PT3M14S,9
Australia,2025,10,Taylor Swift - The Fate of Ophelia (Official Music Video),Music,Taylor Swift,57443630,1449315,65822,PT3M59S,11
Australia,2025,11,Midnight Call (Official Video) - Harkirat Sangha | Starboy X | Rupan Bal | Interstellar 2025,Music,Harkirat Sangha,6620089,212740,3199,PT2M43S,9
Australia,2025,12,"Shararat | Dhurandhar | Ranveer, Aditya Dhar, Shashwat, Jasmine, Madhubanti, Ayesha, Krystle",Music,Saregama Music,38029184,335148,7255,PT3M49S,10
Australia,2026,1,Bruno Mars - I Just Might [Official Music Video],Music,Bruno Mars,36930299,1109403,50547,PT3M33S,10
Australia,2026,2,"Dil Lagana Mana Tha (Official MV) Krish & Kishore Mondal | Kunaal V, Devv S | Sanam Johar Ashi Singh",Music,RDC Melodies,22216664,692327,30720,PT3M26S,2
Austria,2024,10,"kc rebell - daddy is back (prod. by geenaro, ghana beats)",Music,KC Rebell,1336179,38912,6593,PT2M43S,14
Austria,2024,11,G-DRAGON - POWER (Official Video),People & Blogs,OfficialGDRAGON,26400373,1062585,85715,PT2M47S,16
Austria,2024,12,Wer LAUT ist VERLIERT! mit @Trymacs @marc.gebauer @montanablack & vielen mehr!,Entertainment,unsympathischTV,1303020,82040,1205,PT13M19S,22
Austria,2025,1,Welcome to Noxus - Bite Marks (ft. TEYA) | 2025 Season 1 Cinematic - League of Legends,Gaming,League of Legends,171273952,1368496,34529,PT5M4S,16
Austria,2025,2,Lady Gaga - Abracadabra (Official Music Video),Music,LadyGagaVEVO,56733205,2176223,140448,PT4M30S,20
Austria,2025,3,LISA - FUTW (Vixi Solo Version) (Official Music Video),Music,LLOUD Official,24571246,1455517,87586,PT3M48S,15
Austria,2025,4,"Nimo x Amo - AYE (prod. by Chryziz, Rkaz)",Music,MOONBOYS ENTERTAINMENT,1692139,25003,699,PT3M3S,17
Austria,2025,5,Influencer ohne Inhalt - Warum heutzutage jeder fame wird,Entertainment,Sashka,986407,55961,2399,PT15M46S,15
Austria,2025,6,ATEEZ(에이티즈) - 'Lemon Drop' Official MV,Music,KQ ENTERTAINMENT,25435080,428661,43301,PT3M43S,18
Austria,2025,7,RAF Camora x Apache 207 - JUPITER,Music,RAF Camora,1562073,37799,2480,PT2M47S,16
